Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
66,Northwestern,Big Ten,,15,17,68.8,66.5,2.38,,8.58,,0.48,9.35,9.83,110.57,95.86,14.71
67,South Carolina,SEC,,17,16,70.1,69.0,1.09,,9.58,,1.85,7.95,9.80,106.03,91.89,14.13
68,Middle Tennessee,CUSA,,24,7,74.8,65.8,9.03,,2.19,,1.61,8.18,9.79,109.51,94.27,15.23
69,Boston College,ACC,,19,15,76.8,74.4,2.35,,7.33,,8.31,1.37,9.68,113.56,99.36,14.21
70,New Mexico State,WAC,,28,5,75.9,63.8,12.12,,-1.39,,1.93,7.55,9.48,107.83,93.41,14.42
71,Southern Methodist,AAC,,17,16,69.5,64.1,5.42,,4.01,,0.12,9.32,9.44,111.50,96.79,14.71
72,Loyola (IL),MVC,,28,5,72.4,62.2,10.18,,-0.28,,0.30,9.07,9.37,110.42,94.97,15.45
73,St. Bonaventure,A-10,,25,7,77.9,71.0,6.91,,2.08,,6.69,2.30,8.99,111.04,97.22,13.83
74,Old Dominion,CUSA,,25,7,73.3,62.8,10.53,,-1.57,,-1.13,10.09,8.96,107.40,93.33,14.07
75,Vanderbilt,SEC,,12,20,72.4,74.0,-1.63,,10.54,,4.98,3.94,8.91,115.35,101.93,13.42
76,Illinois,Big Ten,,14,18,75.8,73.8,2.00,,7.82,,7.30,1.48,8.78,110.99,98.24,12.75
77,Stanford,Pac-12,,18,15,75.9,74.8,1.09,,7.50,,5.44,3.15,8.59,108.41,95.60,12.81
78,Brigham Young,WCC,,24,10,74.0,67.2,6.79,,1.71,,2.09,6.42,8.50,108.49,95.21,13.28
79,Fresno State,MWC,,21,11,76.8,68.8,8.06,,2.13,,2.81,5.66,8.46,110.67,97.92,12.75
80,Iowa,Big Ten,,14,19,79.7,78.7,1.00,,7.35,,10.78,-2.44,8.35,116.91,104.61,12.29
81,Wake Forest,ACC,,11,20,73.3,74.4,-1.03,,9.05,,5.66,2.35,8.02,111.79,99.16,12.63
82,Louisiana,Sun Belt,,27,6,83.4,70.4,13.00,,-2.72,,7.50,0.49,7.99,111.58,99.79,11.79
83,Washington,Pac-12,,20,12,74.3,72.6,1.72,,6.13,,3.75,4.10,7.85,106.91,94.97,11.94
84,Oregon State,Pac-12,,16,16,73.1,70.3,2.75,,5.03,,1.38,6.40,7.78,108.65,97.17,11.49
85,Buffalo,MAC (East),,26,8,84.8,75.9,8.94,,-0.56,,11.54,-3.92,7.62,112.46,101.26,11.20
86,Temple,AAC,,17,15,70.3,70.7,-0.38,,7.88,,2.69,4.82,7.51,109.17,97.53,11.64
87,Nevada-Las Vegas,MWC,,20,13,83.4,78.1,5.33,,2.12,,11.28,-3.83,7.45,111.54,101.34,10.20
88,Minnesota,Big Ten,,15,17,75.2,75.1,0.09,,7.21,,6.52,0.78,7.30,109.44,99.05,10.39
89,Iowa State,Big 12,,13,18,72.8,75.5,-2.61,,9.89,,5.09,2.20,7.28,110.13,99.20,10.93
90,Mississippi,SEC,,12,20,75.8,78.1,-2.31,,9.53,,8.11,-0.90,7.21,110.71,99.91,10.81
91,Murray State,OVC,,26,5,78.9,65.5,13.39,,-4.16,,3.03,4.15,7.19,111.76,99.55,12.21
92,South Dakota State,Summit,,28,6,84.9,74.1,10.79,,-0.59,,8.88,-1.74,7.14,112.67,102.02,10.65
93,Georgetown,Big East,,15,15,78.3,76.5,1.87,,5.25,,7.36,-0.25,7.11,110.08,99.25,10.83
94,South Dakota,Summit,,26,8,81.0,68.1,12.97,,-2.41,,3.73,3.37,7.10,107.81,96.92,10.89
95,DePaul,Big East,,11,20,71.9,73.8,-1.90,,8.55,,1.77,4.87,6.64,104.91,94.64,10.27
96,Montana,Big Sky,,26,7,78.1,68.7,9.39,,-2.70,,2.93,3.63,6.56,107.48,97.52,9.96
97,Colorado,Pac-12,,17,15,72.1,73.0,-0.94,,7.47,,1.01,5.53,6.54,105.03,95.51,9.52
98,New Mexico,MWC,,19,15,82.2,77.7,4.53,,3.59,,8.72,-2.62,6.10,112.35,103.14,9.21
99,Rutgers,Big Ten,,15,19,65.2,64.8,0.35,,7.12,,-4.59,10.38,5.79,100.11,91.18,8.93
100,Belmont,OVC,,24,9,77.6,69.2,8.42,,-2.75,,3.35,2.33,5.67,111.93,102.39,9.54
101,Vermont,AEC,,27,7,74.2,64.3,9.91,,-3.57,,-0.11,5.65,5.55,112.17,102.18,9.98
102,Georgia Tech,ACC,,13,19,65.7,67.9,-2.22,,7.75,,-2.76,8.29,5.54,104.81,95.96,8.85
103,Tulsa,AAC,,19,12,73.5,70.9,2.58,,2.74,,2.31,3.02,5.32,107.38,98.75,8.63
104,Central Florida,AAC,,19,13,62.7,61.7,1.00,,4.17,,-7.30,12.47,5.17,99.66,90.69,8.97
105,Utah Valley,WAC,,22,10,78.0,67.7,10.31,,-1.56,,2.99,2.18,5.17,109.37,100.63,8.74
106,Northern Kentucky,Horizon,,22,9,78.3,66.0,12.32,,-4.76,,1.02,3.71,4.73,106.24,98.06,8.18
107,Furman,Southern,,23,10,79.4,68.5,10.88,,-3.44,,2.73,1.89,4.63,108.45,100.61,7.85
108,Alabama-Birmingham,CUSA,,20,13,76.8,69.8,7.06,,-0.94,,2.68,1.93,4.61,108.22,100.76,7.46
109,Wyoming,MWC,,20,13,79.8,78.7,1.09,,3.82,,8.12,-3.58,4.54,104.59,97.51,7.09
110,North Carolina-Greensboro,Southern,,27,7,73.5,62.4,11.09,,-4.32,,-3.56,8.04,4.48,103.66,95.25,8.41
111,Grand Canyon,WAC,,22,11,73.9,64.7,9.21,,-4.61,,-1.20,5.58,4.39,101.43,94.28,7.15
112,Bucknell,Patriot,,25,9,81.1,72.9,8.29,,-4.02,,6.66,-2.38,4.27,107.19,100.64,6.55
113,Northern Iowa,MVC,,16,16,64.3,62.2,2.06,,3.90,,-7.02,11.06,4.04,102.97,96.35,6.63
114,East Tennessee State,Southern,,25,9,75.2,65.9,9.26,,-3.86,,-1.61,5.56,3.95,103.64,96.21,7.43
115,Saint Joseph's,A-10,,16,16,74.1,72.2,1.88,,2.00,,2.33,1.55,3.88,104.95,98.65,6.30
116,Virginia Commonwealth,A-10,,18,15,76.0,74.8,1.12,,2.64,,5.02,-1.27,3.76,107.48,101.12,6.35
117,Northeastern,CAA,,23,10,74.9,68.8,6.12,,-1.52,,-0.46,4.18,3.73,106.40,99.80,6.59
118,Marshall,CUSA,,24,10,84.3,78.8,5.44,,-0.91,,10.28,-6.67,3.61,107.50,101.78,5.72
119,Georgia State,Sun Belt,,24,10,75.3,67.3,8.03,,-3.24,,0.23,3.19,3.42,106.32,99.87,6.46
120,San Diego,WCC,,18,13,69.5,65.9,3.65,,0.97,,-2.28,5.58,3.30,102.52,97.07,5.44
121,Northern Colorado,Big Sky,,22,12,80.5,72.9,7.65,,-2.07,,4.06,-0.90,3.16,104.82,99.72,5.10
122,Missouri State,MVC,,18,15,70.1,66.6,3.52,,0.46,,-1.10,4.18,3.08,106.48,101.09,5.40
123,Stephen F. Austin,Southland,,28,6,81.1,68.1,13.03,,-7.01,,1.70,1.06,2.76,102.90,98.50,4.40
124,Saint Louis,A-10,,17,16,65.8,65.4,0.39,,3.10,,-6.33,9.08,2.75,101.52,96.23,5.29
125,Toledo,MAC (West),,23,11,79.0,74.5,4.56,,-1.68,,4.91,-2.20,2.71,112.33,107.30,5.03
126,Utah State,MWC,,17,17,73.2,72.5,0.68,,2.91,,-0.23,2.80,2.57,106.67,101.92,4.74
127,UC-Santa Barbara,Big West,,23,9,75.8,69.1,6.69,,-2.99,,2.08,0.39,2.47,109.93,105.50,4.43
128,Texas-Arlington,Sun Belt,,21,13,77.6,73.5,4.12,,-1.21,,4.39,-1.97,2.43,103.79,100.07,3.72
129,Pennsylvania,Ivy,,24,8,76.4,68.7,7.75,,-3.84,,0.23,2.03,2.25,102.09,97.98,4.10
130,Memphis,AAC,,21,13,70.8,71.2,-0.35,,2.54,,0.92,1.27,2.19,107.27,103.37,3.90
131,Florida Gulf Coast,A-Sun,,23,11,81.7,71.6,10.12,,-5.89,,3.60,-1.49,2.11,106.15,101.99,4.16
132,Bradley,MVC,,20,13,67.4,64.7,2.64,,0.38,,-4.26,6.36,2.10,102.63,97.95,4.68
133,San Francisco,WCC,,18,15,68.7,68.5,0.21,,2.46,,-3.57,5.53,1.96,101.69,97.96,3.73
134,La Salle,A-10,,13,19,72.9,73.8,-0.84,,2.73,,2.40,-0.52,1.88,104.87,100.93,3.94
135,Dayton,A-10,,14,17,72.4,73.5,-1.06,,2.91,,1.22,0.62,1.85,108.90,105.69,3.22
136,College of Charleston,CAA,,26,7,75.1,68.8,6.33,,-3.80,,-1.18,2.80,1.62,107.41,103.26,4.16
137,Tulane,AAC,,14,17,73.2,74.1,-0.87,,2.44,,2.61,-1.04,1.57,105.83,103.08,2.75
138,Connecticut,AAC,,14,18,68.2,73.1,-4.97,,6.45,,-0.44,1.92,1.48,104.45,101.62,2.84
139,Indiana State,MVC,,13,18,72.5,72.7,-0.16,,2.34,,2.30,-0.86,1.44,103.72,100.19,3.53
140,Southern Illinois,MVC,,20,13,69.9,69.1,0.85,,0.71,,-0.88,2.31,1.43,104.52,101.19,3.34
141,Rider,MAAC,,22,9,81.7,77.6,4.13,,-2.77,,7.59,-6.24,1.36,106.99,104.77,2.22
142,UC-Davis,Big West,,22,10,72.8,67.9,4.91,,-2.00,,-1.25,2.45,1.20,102.72,99.98,2.74
143,Idaho,Big Sky,,22,9,75.2,68.8,6.32,,-3.67,,-1.34,2.42,1.09,106.89,103.97,2.93
144,Illinois State,MVC,,18,15,71.6,73.3,-1.64,,3.65,,1.86,-0.80,1.06,103.74,101.22,2.52
145,Louisiana Tech,CUSA,,17,16,74.8,70.6,4.15,,-0.42,,0.04,0.99,1.03,105.28,102.81,2.47
146,Washington State,Pac-12,,12,19,73.2,77.8,-4.55,,5.56,,3.21,-2.20,1.01,108.12,105.97,2.15
147,Iona,MAAC,,20,13,79.8,76.2,3.70,,-2.74,,5.93,-4.97,0.96,108.59,106.18,2.41
148,Canisius,MAAC,,21,11,76.3,70.8,5.47,,-4.69,,0.59,0.19,0.78,105.48,103.47,2.01
149,Eastern Washington,Big Sky,,20,14,75.1,71.6,3.56,,-1.48,,-1.01,1.78,0.77,106.20,103.92,2.28
150,Wright State,Horizon,,25,9,72.1,65.7,6.44,,-4.42,,-4.10,4.84,0.74,98.64,96.17,2.47
151,Evansville,MVC,,17,15,65.4,63.9,1.53,,1.39,,-7.22,7.95,0.72,97.65,95.32,2.33
152,Valparaiso,MVC,,15,17,70.4,68.2,2.19,,1.01,,-1.30,2.01,0.71,101.48,99.59,1.89
153,Weber State,Big Sky,,20,11,78.5,70.8,7.71,,-2.67,,0.73,-0.51,0.23,105.98,104.96,1.02
154,Portland State,Big Sky,,20,13,85.8,79.7,6.12,,-0.84,,9.62,-9.43,0.19,106.46,105.78,0.68
155,Albany (NY),AEC,,22,10,74.2,68.2,6.03,,-5.28,,-1.54,1.69,0.15,105.09,103.72,1.37
156,UC-Irvine,Big West,,18,17,69.7,67.1,2.57,,0.02,,-5.40,5.54,0.14,98.57,97.17,1.40
157,Richmond,A-10,,12,20,71.8,75.6,-3.78,,3.80,,1.39,-1.37,0.02,107.29,106.08,1.21
158,Jacksonville State,OVC,,21,12,71.5,64.9,6.58,,-5.03,,-5.71,5.65,-0.06,100.59,99.34,1.25
159,Mercer,Southern,,18,14,75.5,68.9,6.63,,-3.66,,-0.25,0.19,-0.06,111.23,108.83,2.40
160,Pacific,WCC,,14,18,71.3,72.4,-1.13,,2.25,,-1.00,0.89,-0.11,105.26,104.49,0.77
161,Eastern Michigan,MAC (West),,21,12,71.6,66.8,4.82,,-2.52,,-5.81,5.67,-0.14,101.08,99.92,1.16
162,Towson,CAA,,18,14,76.4,71.2,5.22,,-3.14,,0.03,-0.17,-0.14,103.51,102.52,0.99
163,Drake,MVC,,16,16,73.6,73.2,0.41,,0.88,,1.10,-1.32,-0.22,105.09,104.10,1.00
164,Georgia Southern,Sun Belt,,21,12,75.9,70.2,5.73,,-3.01,,0.14,-0.41,-0.27,103.59,102.83,0.76
165,Harvard,Ivy,,18,13,68.5,66.5,1.94,,-1.99,,-5.68,5.39,-0.29,99.17,98.44,0.73
166,Hofstra,CAA,,19,12,79.5,77.3,2.16,,-1.52,,3.40,-3.85,-0.46,108.56,107.91,0.65
167,Cal State Fullerton,Big West,,20,11,73.2,70.0,3.19,,-1.53,,0.43,-0.96,-0.53,101.82,101.63,0.18
168,George Washington,A-10,,15,18,67.4,70.3,-2.85,,2.31,,-4.21,3.68,-0.54,103.08,103.41,-0.33
169,Wofford,Southern,,21,12,75.3,69.9,5.36,,-2.23,,-1.22,0.66,-0.56,107.17,106.41,0.77
170,Duquesne,A-10,,16,16,72.4,70.2,2.25,,-3.10,,-0.81,-0.04,-0.85,104.67,104.65,0.03
171,Ball State,MAC (West),,19,13,75.3,73.8,1.50,,-1.83,,0.63,-1.69,-1.06,101.68,102.15,-0.46
172,IPFW,Summit,,18,14,82.1,76.3,5.81,,-3.06,,4.51,-5.57,-1.06,104.32,104.86,-0.54
173,Central Michigan,MAC (West),,19,14,77.9,72.5,5.39,,-3.28,,0.83,-1.94,-1.11,105.89,106.21,-0.32
174,Troy,Sun Belt,,16,17,75.0,73.0,2.03,,-1.90,,0.37,-1.66,-1.29,104.67,105.66,-0.99
175,William & Mary,CAA,,19,12,85.0,81.6,3.39,,-1.27,,8.35,-9.65,-1.30,113.61,114.83,-1.22
176,Texas-San Antonio,CUSA,,19,14,78.6,75.2,3.39,,-0.98,,3.17,-4.48,-1.32,103.79,104.49,-0.70
177,Massachusetts,A-10,,13,20,71.9,74.7,-2.76,,1.33,,0.05,-1.48,-1.43,106.16,107.25,-1.09
178,North Dakota State,Summit,,15,17,74.4,70.8,3.69,,-1.23,,-3.11,1.60,-1.51,103.35,104.63,-1.28
179,Pittsburgh,ACC,,8,24,62.0,72.4,-10.34,,8.78,,-6.18,4.62,-1.56,99.15,101.55,-2.41
180,Winthrop,Big South,,19,12,79.5,71.6,7.90,,-5.82,,2.47,-4.08,-1.61,103.30,104.69,-1.38
181,North Texas,CUSA,,15,17,72.9,71.5,1.44,,-0.90,,-3.04,1.38,-1.67,102.10,103.40,-1.31
182,Seattle,WAC,,20,13,75.7,72.0,3.73,,-2.68,,-1.06,-0.76,-1.82,102.81,104.74,-1.93
183,Oakland,Horizon,,19,14,78.2,76.2,1.94,,-3.78,,3.30,-5.14,-1.84,105.01,105.91,-0.91
184,Lipscomb,A-Sun,,23,9,82.6,77.5,5.06,,-4.41,,5.10,-7.13,-2.03,101.21,102.85,-1.64
185,Hawaii,Big West,,17,13,70.1,69.0,1.10,,-2.23,,-4.61,2.56,-2.05,98.74,100.83,-2.09
186,Western Michigan,MAC (West),,17,15,75.1,73.4,1.66,,-1.84,,-0.56,-1.52,-2.08,104.40,106.47,-2.07
187,Monmouth,MAAC,,11,20,75.4,76.5,-1.16,,-0.96,,1.47,-3.59,-2.12,101.60,103.32,-1.73
188,Princeton,Ivy,,13,16,72.6,71.8,0.79,,-1.81,,-2.11,-0.17,-2.28,103.92,106.46,-2.54
189,Ohio,MAC (East),,14,17,75.3,75.9,-0.61,,-1.59,,1.27,-3.73,-2.46,98.63,101.02,-2.38
190,Wagner,NEC,,23,9,74.7,68.0,6.66,,-7.20,,-3.55,0.89,-2.66,100.25,102.42,-2.17
191,Liberty,Big South,,20,14,71.2,63.6,7.59,,-6.31,,-5.94,3.21,-2.73,102.24,104.59,-2.35
192,George Mason,A-10,,16,17,71.8,75.7,-3.82,,1.05,,-0.51,-2.26,-2.77,101.07,104.12,-3.05
193,Radford,Big South,,22,12,67.4,64.4,3.00,,-4.86,,-7.36,4.56,-2.80,100.97,103.38,-2.40
194,University of California,Pac-12,,8,24,67.7,77.6,-9.91,,6.56,,-3.73,0.84,-2.89,98.39,101.60,-3.21
195,Miami (OH),MAC (East),,16,17,71.6,69.9,1.67,,-0.85,,-5.31,2.30,-3.01,97.45,100.74,-3.29
196,Long Beach State,Big West,,15,18,75.3,78.4,-3.06,,1.31,,3.55,-6.89,-3.33,103.73,107.24,-3.51
197,Nicholls State,Southland,,21,11,82.5,75.3,7.19,,-5.69,,2.95,-6.32,-3.36,100.26,103.48,-3.22
198,Austin Peay,OVC,,18,14,73.5,71.8,1.69,,-2.15,,-0.88,-2.50,-3.38,101.51,105.20,-3.69
199,Maryland-Baltimore County,AEC,,24,10,73.9,69.5,4.44,,-4.99,,-2.47,-1.00,-3.47,100.91,104.67,-3.76
200,Colorado State,MWC,,11,21,72.3,79.3,-6.97,,4.07,,0.39,-3.97,-3.58,102.16,106.03,-3.87
201,Kent State,MAC (East),,17,17,73.0,73.6,-0.59,,-1.63,,-1.84,-1.76,-3.60,100.85,105.39,-4.54
202,Coastal Carolina,Sun Belt,,14,18,71.8,70.0,1.78,,-2.12,,-3.07,-0.57,-3.64,99.66,104.01,-4.35
203,Loyola Marymount,WCC,,11,20,71.8,76.4,-4.61,,1.55,,-0.30,-3.62,-3.92,105.68,110.61,-4.93
204,Yale,Ivy,,16,15,74.6,73.8,0.77,,-2.62,,-1.57,-2.42,-3.99,101.43,106.33,-4.90
205,Air Force,MWC,,12,19,68.5,72.4,-3.87,,2.00,,-5.80,1.76,-4.04,99.87,105.57,-5.71
206,Niagara,MAAC,,19,13,83.8,83.9,-0.09,,-4.07,,8.27,-12.43,-4.16,107.63,112.31,-4.68
207,Illinois-Chicago,Horizon,,17,15,75.1,72.8,2.34,,-4.45,,-0.41,-3.77,-4.19,97.61,101.92,-4.31
208,Milwaukee,Horizon,,16,17,68.5,68.5,-0.03,,-4.35,,-7.13,2.88,-4.25,98.53,102.82,-4.30
209,North Carolina-Asheville,Big South,,21,12,74.5,72.6,1.91,,-4.12,,-0.05,-4.26,-4.31,102.73,107.16,-4.42
210,Appalachian State,Sun Belt,,15,18,76.4,74.2,2.18,,-2.40,,0.57,-5.12,-4.56,100.74,105.80,-5.06
211,Southern Mississippi,CUSA,,16,18,70.6,72.0,-1.41,,0.95,,-4.16,-0.46,-4.62,104.18,109.69,-5.51
212,Florida International,CUSA,,14,18,70.7,71.2,-0.50,,-2.35,,-3.32,-1.34,-4.66,97.12,102.54,-5.42
213,Fairfield,MAAC,,17,16,75.9,77.2,-1.30,,-3.38,,0.19,-4.87,-4.68,100.17,105.38,-5.21
214,Manhattan,MAAC,,14,17,69.3,70.2,-0.90,,-3.89,,-6.92,2.12,-4.80,97.20,103.06,-5.86
215,Lamar,Southland,,19,13,76.0,69.4,6.59,,-7.18,,-3.38,-1.44,-4.82,99.12,104.69,-5.57
216,Denver,Summit,,15,15,73.1,73.0,0.10,,-2.17,,-3.84,-1.01,-4.85,100.80,106.40,-5.60
217,Colgate,Patriot,,19,13,72.7,70.1,2.59,,-5.90,,-3.78,-1.09,-4.87,102.92,108.96,-6.04
218,Stony Brook,AEC,,13,19,68.9,70.3,-1.38,,-2.11,,-5.75,0.84,-4.91,94.79,100.85,-6.06
219,Saint Peter's,MAAC,,14,18,65.2,66.0,-0.88,,-4.06,,-12.29,7.36,-4.94,94.07,100.06,-5.99
220,Saint Francis (PA),NEC,,18,12,79.6,75.7,3.93,,-6.42,,1.40,-6.39,-4.99,104.72,110.83,-6.11
221,Tennessee State,OVC,,15,15,66.6,67.0,-0.43,,-2.79,,-8.31,3.17,-5.14,95.27,101.02,-5.75
222,Hartford,AEC,,19,13,70.4,69.7,0.75,,-5.40,,-4.72,-0.45,-5.18,100.04,105.90,-5.86
223,Central Arkansas,Southland,,17,16,80.8,78.7,2.18,,-5.94,,5.15,-10.34,-5.19,102.74,109.26,-6.52
224,South Alabama,Sun Belt,,14,18,69.6,69.3,0.31,,-2.63,,-4.98,-0.22,-5.20,94.52,100.54,-6.02
