TeamID,TeamName,FirstD1Season,LastD1Season
1306,New Hampshire,1985,2018
1307,New Mexico,1985,2018
1308,New Mexico St,1985,2018
1309,New Orleans,1985,2018
1310,Niagara,1985,2018
1311,Nicholls St,1985,2018
1312,NJIT,2007,2018
1313,Norfolk St,1998,2018
1314,North Carolina,1985,2018
1315,North Dakota,2009,2018
1316,North Florida,2006,2018
1317,North Texas,1985,2018
1318,Northeastern,1985,2018
1319,Northern Arizona,1985,2018
1320,Northern Iowa,1985,2018
1321,Northwestern,1985,2018
1322,Northwestern LA,1985,2018
1323,Notre Dame,1985,2018
1324,Oakland,2000,2018
1325,Ohio,1985,2018
1326,Ohio St,1985,2018
1327,Okla City,1985,1985
1328,Oklahoma,1985,2018
1329,Oklahoma St,1985,2018
1330,Old Dominion,1985,2018
1331,Oral Roberts,1985,2018
1332,Oregon,1985,2018
1333,Oregon St,1985,2018
1334,Pacific,1985,2018
1335,Penn,1985,2018
1336,Penn St,1985,2018
1337,Pepperdine,1985,2018
1338,Pittsburgh,1985,2018
1339,Portland,1985,2018
1340,Portland St,1999,2018
1341,Prairie View,1985,2018
1342,Presbyterian,2008,2018
1343,Princeton,1985,2018
1344,Providence,1985,2018
1345,Purdue,1985,2018
1346,Quinnipiac,1999,2018
1347,Radford,1985,2018
1348,Rhode Island,1985,2018
1349,Rice,1985,2018
1350,Richmond,1985,2018
1351,Rider,1985,2018
1352,Robert Morris,1985,2018
1353,Rutgers,1985,2018
1354,S Carolina St,1985,2018
1355,S Dakota St,2006,2018
1356,S Illinois,1985,2018
1357,Sacred Heart,2000,2018
1358,Sam Houston St,1987,2018
1359,Samford,1985,2018
1360,San Diego,1985,2018
1361,San Diego St,1985,2018
1362,San Francisco,1986,2018
1363,San Jose St,1985,2018
1364,Santa Barbara,1985,2018
1365,Santa Clara,1985,2018
1366,Savannah St,2003,2018
1367,SC Upstate,2008,2018
1368,SE Louisiana,1985,2018
1369,SE Missouri St,1992,2018
1370,Seattle,2009,2018
1371,Seton Hall,1985,2018
1372,SF Austin,1987,2018
1373,Siena,1985,2018
1374,SMU,1985,2018
1375,South Alabama,1985,2018
1376,South Carolina,1985,2018
1377,South Dakota,2009,2018
1378,South Florida,1985,2018
1379,Southern Miss,1985,2018
1380,Southern Univ,1985,2018
1381,Southern Utah,1989,2018
1382,St Bonaventure,1985,2018
1383,St Francis NY,1985,2018
1384,St Francis PA,1985,2018
1385,St John's,1985,2018
1386,St Joseph's PA,1985,2018
1387,St Louis,1985,2018
1388,St Mary's CA,1985,2018
1389,St Peter's,1985,2018
1390,Stanford,1985,2018
1391,Stetson,1985,2018
1392,Stony Brook,2000,2018
1393,Syracuse,1985,2018
1394,TAM C. Christi,2003,2018
1395,TCU,1985,2018
1396,Temple,1985,2018
1397,Tennessee,1985,2018
1398,Tennessee St,1985,2018
1399,Tennessee Tech,1985,2018
1400,Texas,1985,2018
1401,Texas A&M,1985,2018
1402,Texas St,1985,2018
1403,Texas Tech,1985,2018
1404,TN Martin,1993,2018
1405,Toledo,1985,2018
1406,Towson,1985,2018
1407,Troy,1994,2018
1408,Tulane,1985,2018
1409,Tulsa,1985,2018
1410,UTRGV,1985,2018
1411,TX Southern,1985,2018
1412,UAB,1985,2018
1413,UC Davis,2005,2018
1414,UC Irvine,1985,2018
1415,UC Riverside,2002,2018
1416,UCF,1985,2018
1417,UCLA,1985,2018
1418,ULL,1985,2018
1419,ULM,1985,2018
1420,UMBC,1987,2018
1421,UNC Asheville,1987,2018
1422,UNC Greensboro,1992,2018
1423,UNC Wilmington,1985,2018
1424,UNLV,1985,2018
1425,USC,1985,2018
1426,UT Arlington,1985,2018
1427,UT San Antonio,1985,2018
1428,Utah,1985,2018
1429,Utah St,1985,2018
1430,Utah Valley,2005,2018
1431,UTEP,1985,2018
1432,Utica,1985,1987
1433,VA Commonwealth,1985,2018
1434,Valparaiso,1985,2018
1435,Vanderbilt,1985,2018
1436,Vermont,1985,2018
1437,Villanova,1985,2018
1438,Virginia,1985,2018
1439,Virginia Tech,1985,2018
1440,VMI,1985,2018
1441,W Carolina,1985,2018
1442,W Illinois,1985,2018
1443,WKU,1985,2018
1444,W Michigan,1985,2018
1445,W Salem St,2007,2010
1446,W Texas A&M,1985,1986
1447,Wagner,1985,2018
1448,Wake Forest,1985,2018
1449,Washington,1985,2018
1450,Washington St,1985,2018
1451,Weber St,1985,2018
1452,West Virginia,1985,2018
1453,WI Green Bay,1985,2018
1454,WI Milwaukee,1991,2018
1455,Wichita St,1985,2018
1456,William & Mary,1985,2018
1457,Winthrop,1987,2018
1458,Wisconsin,1985,2018
1459,Wofford,1996,2018
1460,Wright St,1988,2018
1461,Wyoming,1985,2018
1462,Xavier,1985,2018
1463,Yale,1985,2018
1464,Youngstown St,1985,2018
